DATE,M1_US,M1_EU,GDP_US,GDP_EU,CPI_US,CPI_EU,XAU_USD,WTI_USD,RATE
2015-01-01,2941.1000,6031.1100,17984.1780,99.6455,99.0423,98.2400,1251.5700,47.2480,0.8603
2015-02-01,2979.6000,6061.4800,17984.1780,99.6860,99.2933,98.8500,1227.0800,50.7400,0.8808
2015-03-01,3023.9000,6119.6400,17984.1780,99.7202,99.5608,100.0000,1179.5500,48.0423,0.9237
2015-04-01,3035.4000,6203.8100,18219.4050,99.7481,99.6646,100.4300,1200.3000,54.6200,0.9245
2015-05-01,2975.9000,6302.8700,18219.4050,99.7713,99.9932,100.7100,1199.0700,59.4310,0.8964
2015-06-01,3020.7000,6361.5700,18219.4050,99.7918,100.2700,100.7200,1182.3900,59.7718,0.8901
2015-07-01,3038.4000,6408.5800,18344.7130,99.8106,100.4291,100.1100,1130.6800,50.9123,0.9092
2015-08-01,3022.3000,6416.2700,18344.7130,99.8282,100.4287,100.1200,1119.5400,42.8610,0.8975
2015-09-01,3016.3000,6438.3900,18344.7130,99.8454,100.2029,100.3200,1125.3200,45.3490,0.8899
2015-10-01,3011.9000,6525.5400,18350.8250,99.8638,100.3021,100.4500,1157.8800,46.3805,0.8915
2015-11-01,3056.2000,6592.4500,18350.8250,99.8839,100.4219,100.0100,1084.9900,42.9610,0.9321
2015-12-01,3141.1000,6631.8200,18350.8250,99.9044,100.3139,100.0300,1068.9400,37.3132,0.9176
2016-01-01,3094.0000,6666.0300,18424.2830,99.9195,100.3417,98.5600,1096.5400,31.7589,0.9202
2016-02-01,3096.6000,6688.4400,18424.2830,99.9216,100.2097,98.7300,1201.6000,30.7220,0.9006
2016-03-01,3179.8000,6721.6400,18424.2830,99.9093,100.4105,99.9600,1243.8300,38.0382,0.8977
2016-04-01,3234.5000,6815.4100,18637.2530,99.8869,100.7670,100.1700,1242.1800,41.1895,0.8818
2016-05-01,3234.8000,6867.5900,18637.2530,99.8625,101.0223,100.5900,1259.8500,46.8400,0.8852
2016-06-01,3247.0000,6901.6700,18637.2530,99.8447,101.3193,100.7700,1276.2500,48.7941,0.8896
2016-07-01,3244.7000,6967.6800,18806.7430,99.8401,101.3054,100.2800,1338.4300,44.7935,0.9039
2016-08-01,3319.0000,6961.9500,18806.7430,99.8533,101.5096,100.3400,1338.4900,44.7770,0.8925
2016-09-01,3296.4000,6984.6400,18806.7430,99.8865,101.7092,100.7200,1326.5900,45.2300,0.8918
2016-10-01,3327.7000,7043.7000,18991.8830,99.9385,101.9509,100.9600,1265.9100,49.9286,0.9072
2016-11-01,3328.5000,7145.9900,18991.8830,100.0061,102.0994,100.6000,1234.0700,45.6666,0.9275
2016-12-01,3384.0000,7194.1300,18991.8830,100.0857,102.4028,101.1300,1150.4100,52.0624,0.9490
2017-01-01,3388.6000,7183.6500,19190.4310,100.1717,102.8268,100.2600,1192.3600,52.6355,0.9407
2017-02-01,3358.0000,7218.4300,19190.4310,100.2586,102.9580,100.6600,1235.1400,53.4405,0.9398
2017-03-01,3477.3000,7309.1100,19190.4310,100.3442,102.8285,101.4900,1231.3100,49.7165,0.9358
2017-04-01,3489.1000,7406.4300,19356.6490,100.4285,102.9707,102.0700,1271.0600,51.0711,0.9333
2017-05-01,3517.1000,7436.9600,19356.6490,100.5128,102.9150,101.9800,1245.6700,48.5518,0.9046
2017-06-01,3527.7000,7515.7600,19356.6490,100.5979,103.0217,102.0800,1260.0400,45.1418,0.8899
2017-07-01,3548.2000,7544.1300,19611.7040,100.6823,103.0846,101.6200,1237.5500,46.7700,0.8730
2017-08-01,3588.6000,7571.6100,19611.7040,100.7626,103.4964,101.8900,1284.3300,48.2230,0.8462
2017-09-01,3542.2000,7620.4200,19611.7040,100.8333,103.9778,102.2900,1315.3400,49.5788,0.8399
2017-10-01,3601.6000,7646.1200,19918.9100,100.8868,104.0305,102.3400,1280.9100,51.3967,0.8507
2017-11-01,3603.5000,7723.9600,19918.9100,100.9158,104.3524,102.1400,1282.0900,56.5596,0.8516
2017-12-01,3653.0000,7786.2700,19918.9100,100.9158,104.5693,102.4900,1266.9200,57.8457,0.8449
2018-01-01,3652.6000,7767.1900,20163.1590,100.8901,104.9781,101.5600,1331.0300,63.7873,0.8204
2018-02-01,3566.9000,7777.0700,20163.1590,100.8451,105.2562,101.7800,1331.7800,62.2025,0.8102
2018-03-01,3689.0000,7840.1100,20163.1590,100.7871,105.2300,102.9100,1326.3900,62.8540,0.8106
2018-04-01,3698.8000,7892.0900,20510.1770,100.7207,105.4595,103.3200,1335.0200,66.2827,0.8140
2018-05-01,3656.3000,7994.8300,20510.1770,100.6492,105.7477,103.9700,1303.3100,69.8533,0.8455
2018-06-01,3654.8000,8086.6400,20510.1770,100.5760,105.9738,104.0900,1280.3800,67.1388,0.8568
2018-07-01,3678.0000,8080.6200,20749.7520,100.5062,106.1029,103.8500,1237.7900,71.1815,0.8557
2018-08-01,3686.1000,8082.0900,20749.7520,100.4450,106.2814,104.0100,1200.3400,68.3096,0.8658
2018-09-01,3671.5000,8152.5000,20749.7520,100.3956,106.4316,104.4200,1198.0300,70.4292,0.8576
2018-10-01,3718.4000,8160.1000,20897.8040,100.3566,106.6493,104.6800,1215.3300,70.8070,0.8701
2018-11-01,3676.6000,8256.6000,20897.8040,100.3243,106.6008,104.1000,1220.8300,56.6677,0.8801
2018-12-01,3796.8000,8302.8900,20897.8040,100.2932,106.5970,104.0500,1251.8500,48.9676,0.8800
2019-01-01,3745.4000,8264.1300,21098.8270,100.2576,106.5535,102.9700,1292.3500,51.5473,0.8757
2019-02-01,3702.1000,8305.1500,21098.8270,100.2119,106.8198,103.3000,1319.0700,54.9546,0.8805
2019-03-01,3753.9000,8442.9300,21098.8270,100.1536,107.2054,104.3500,1300.8200,57.9519,0.8838
2019-04-01,3819.8000,8488.9400,21340.2670,100.0845,107.5632,105.1000,1286.2400,63.7112,0.8897
2019-05-01,3787.8000,8576.2800,21340.2670,100.0080,107.6577,105.2400,1284.0900,60.7404,0.8937
2019-06-01,3828.1000,8670.3700,21340.2670,99.9269,107.7568,105.4100,1361.6800,54.8164,0.8879
2019-07-01,3860.8000,8699.0800,21542.5400,99.8415,108.0458,104.9100,1415.7200,57.4570,0.8893
2019-08-01,3847.2000,8787.9100,21542.5400,99.7513,108.1332,105.0600,1503.4700,54.8004,0.8982
2019-09-01,3874.6000,8789.4300,21542.5400,99.6564,108.2593,105.2900,1508.2300,57.0254,0.9071
2019-10-01,3921.9000,8847.1100,21729.1240,99.5599,108.5277,105.4400,1495.0000,54.0063,0.9068
2019-11-01,3922.4000,8972.9100,21729.1240,99.4656,108.7787,105.1000,1470.2400,57.0696,0.9037
2019-12-01,4041.3000,8975.9500,21729.1240,99.3755,109.0403,105.4300,1482.7700,59.7062,0.9019
2020-01-01,3982.0000,8928.4500,21200.0000,99.4733,109.1989,104.3700,1559.6000,57.8512,0.8990
2020-02-01,3946.2000,9008.7200,21200.0000,99.2844,109.2960,104.5600,1595.5600,50.7308,0.9161
