DATE,currency rate
1/1/15,0.8261
1/2/15,0.8332
1/5/15,0.838
1/6/15,0.8411
1/7/15,0.8447
1/8/15,0.848
1/9/15,0.8445
1/12/15,0.8451
1/13/15,0.8495
1/14/15,0.8482
1/15/15,0.8598
1/16/15,0.8643
1/19/15,0.8617
1/20/15,0.8658
1/21/15,0.8613
1/22/15,0.8798
1/23/15,0.8922
1/26/15,0.8898
1/27/15,0.8786
1/28/15,0.8859
1/29/15,0.8834
1/30/15,0.8859
2/2/15,0.8817
2/3/15,0.871
2/4/15,0.8813
2/5/15,0.8714
2/6/15,0.8837
2/9/15,0.8831
2/10/15,0.8833
2/11/15,0.8823
2/12/15,0.877
2/13/15,0.8783
2/16/15,0.8807
2/17/15,0.8762
2/18/15,0.8774
2/19/15,0.8798
2/20/15,0.8787
2/23/15,0.8824
2/24/15,0.8818
2/25/15,0.8801
2/26/15,0.8931
2/27/15,0.8932
3/2/15,0.8941
3/3/15,0.8947
3/4/15,0.9026
3/5/15,0.9066
3/6/15,0.9222
3/9/15,0.9214
3/10/15,0.9347
3/11/15,0.9482
3/12/15,0.9403
3/13/15,0.9528
3/16/15,0.9462
3/17/15,0.9435
3/18/15,0.9203
3/19/15,0.9381
3/20/15,0.9241
3/23/15,0.9135
3/24/15,0.9152
3/25/15,0.9114
3/26/15,0.9188
3/27/15,0.9184
3/30/15,0.9231
3/31/15,0.9319
4/1/15,0.929
4/2/15,0.9188
4/3/15,0.9109
4/6/15,0.9154
4/7/15,0.9246
4/8/15,0.9276
4/9/15,0.9382
4/10/15,0.943
4/13/15,0.9463
4/14/15,0.9386
4/15/15,0.9358
4/16/15,0.9293
4/17/15,0.9254
4/20/15,0.9311
4/21/15,0.9315
4/22/15,0.9323
4/23/15,0.9237
4/24/15,0.9196
4/27/15,0.9184
4/28/15,0.9106
4/29/15,0.8983
4/30/15,0.8909
5/1/15,0.8927
5/4/15,0.8972
5/5/15,0.894
5/6/15,0.8808
5/7/15,0.8876
5/8/15,0.8925
5/11/15,0.8964
5/12/15,0.8917
5/13/15,0.8805
5/14/15,0.8764
5/15/15,0.8732
5/18/15,0.8838
5/19/15,0.8969
5/20/15,0.9014
5/21/15,0.8999
5/22/15,0.9077
5/25/15,0.9109
5/26/15,0.9196
5/27/15,0.917
5/28/15,0.9133
5/29/15,0.9101
6/1/15,0.9151
6/2/15,0.8965
6/3/15,0.8871
6/4/15,0.8898
6/5/15,0.8999
6/8/15,0.8857
6/9/15,0.8862
6/10/15,0.8829
6/11/15,0.8882
6/12/15,0.8873
6/15/15,0.8862
6/16/15,0.8891
6/17/15,0.8821
6/18/15,0.8802
6/19/15,0.8808
6/22/15,0.8818
6/23/15,0.8952
6/24/15,0.8924
6/25/15,0.8925
6/26/15,0.8956
6/29/15,0.89
6/30/15,0.8979
7/1/15,0.9047
7/2/15,0.9022
7/3/15,0.8998
7/6/15,0.9044
7/7/15,0.9081
7/8/15,0.9026
7/9/15,0.9059
7/10/15,0.8957
7/13/15,0.9088
7/14/15,0.9081
7/15/15,0.9133
7/16/15,0.9195
7/17/15,0.9234
7/20/15,0.9236
7/21/15,0.9143
7/22/15,0.9146
7/23/15,0.9105
7/24/15,0.9104
7/27/15,0.9014
7/28/15,0.9042
7/29/15,0.9103
7/30/15,0.9146
7/31/15,0.9101
8/3/15,0.9132
8/4/15,0.9189
8/5/15,0.9169
8/6/15,0.9153
8/7/15,0.9117
8/10/15,0.9074
8/11/15,0.9058
8/12/15,0.8963
8/13/15,0.897
8/14/15,0.9003
8/17/15,0.9026
8/18/15,0.9073
8/19/15,0.8993
8/20/15,0.8895
8/21/15,0.878
8/24/15,0.8605
8/25/15,0.8682
8/26/15,0.8838
8/27/15,0.8892
8/28/15,0.8945
8/31/15,0.8917
9/1/15,0.8838
9/2/15,0.8907
9/3/15,0.899
9/4/15,0.8971
9/7/15,0.8954
9/8/15,0.8929
9/9/15,0.8924
9/10/15,0.8865
9/11/15,0.8819
9/14/15,0.8833
9/15/15,0.8875
9/16/15,0.8858
9/17/15,0.8744
9/18/15,0.8845
9/21/15,0.8937
9/22/15,0.8992
9/23/15,0.894
9/24/15,0.8905
9/25/15,0.8933
9/28/15,0.8892
9/29/15,0.889
9/30/15,0.8947
10/1/15,0.8931
10/2/15,0.8921
10/5/15,0.8941
10/6/15,0.8872
10/7/15,0.8901
10/8/15,0.8866
10/9/15,0.8804
10/12/15,0.8807
10/13/15,0.8786
10/14/15,0.8716
10/15/15,0.8785
10/16/15,0.8813
10/19/15,0.8831
10/20/15,0.8812
10/21/15,0.8819
10/22/15,0.9003
10/23/15,0.9077
10/26/15,0.9044
10/27/15,0.9051
10/28/15,0.9157
10/29/15,0.9111
10/30/15,0.9086
11/2/15,0.9077
11/3/15,0.9118
11/4/15,0.9203
11/5/15,0.9187
11/6/15,0.931
11/9/15,0.9303
11/10/15,0.9325
11/11/15,0.9307
11/12/15,0.9244
11/13/15,0.9277
11/16/15,0.9358
11/17/15,0.9395
11/18/15,0.9382
11/19/15,0.9316
11/20/15,0.9394
11/23/15,0.9402
11/24/15,0.9397
11/25/15,0.941
11/26/15,0.9425
11/27/15,0.9441
11/30/15,0.9466
12/1/15,0.9406
12/2/15,0.9421
12/3/15,0.9143
12/4/15,0.9186
12/7/15,0.9228
12/8/15,0.918
12/9/15,0.907
12/10/15,0.9141
12/11/15,0.91
12/14/15,0.9098
12/15/15,0.9152
12/16/15,0.9164
12/17/15,0.9237
